timestamp,story_id,token_count,reason
2026-01-02T23:25:42.798656,1947_11_06,725,Exceeds token limit
2026-01-02T23:25:42.816663,1947_11_09,1274,Exceeds token limit
2026-01-02T23:25:42.834331,1947_11_10,1067,Exceeds token limit
2026-01-02T23:25:42.841358,1947_11_12,1178,Exceeds token limit
2026-01-02T23:25:42.850117,1947_11_13,2075,Exceeds token limit
2026-01-02T23:25:42.857233,1947_11_14,1077,Exceeds token limit
2026-01-02T23:25:42.872281,1947_11_15,2458,Exceeds token limit
2026-01-02T23:25:42.881966,1947_11_16,2307,Exceeds token limit
2026-01-02T23:25:42.884555,1947_11_17,916,Exceeds token limit
2026-01-02T23:25:42.889483,1947_11_18,647,Exceeds token limit
2026-01-02T23:25:43.880136,1947_12_03,832,Exceeds token limit
2026-01-02T23:25:43.916091,1947_12_05,1195,Exceeds token limit
2026-01-02T23:25:43.942797,1947_12_06,1497,Exceeds token limit
2026-01-02T23:25:43.973352,1947_12_07,1763,Exceeds token limit
2026-01-02T23:25:43.977314,1947_12_08,652,Exceeds token limit
2026-01-02T23:25:43.995443,1947_12_09,1180,Exceeds token limit
2026-01-02T23:25:44.010042,1947_12_12,963,Exceeds token limit
2026-01-02T23:25:44.029176,1947_12_13,1589,Exceeds token limit
2026-01-02T23:25:44.034537,1947_12_14,1136,Exceeds token limit
2026-01-02T23:25:44.041536,1947_12_15,1033,Exceeds token limit
2026-01-02T23:25:44.048725,1947_12_16,972,Exceeds token limit
2026-01-02T23:25:45.589722,1948_01_01,721,Exceeds token limit
2026-01-02T23:25:45.615518,1948_01_04,644,Exceeds token limit
2026-01-02T23:25:45.635548,1948_01_05,584,Exceeds token limit
2026-01-02T23:25:45.665248,1948_01_09,530,Exceeds token limit
2026-01-02T23:25:45.668024,1948_01_10,691,Exceeds token limit
2026-01-02T23:25:51.499190,1948_02_10,1949,Exceeds token limit
2026-01-02T23:25:51.540597,1948_02_11,1107,Exceeds token limit
2026-01-02T23:25:51.558926,1948_02_12,666,Exceeds token limit
2026-01-02T23:25:51.650876,1948_02_13,1574,Exceeds token limit
2026-01-02T23:25:51.741714,1948_02_14,962,Exceeds token limit
2026-01-02T23:25:51.793987,1948_02_15,2351,Exceeds token limit
2026-01-02T23:25:51.815356,1948_02_16,1791,Exceeds token limit
2026-01-02T23:25:51.821871,1948_02_17,868,Exceeds token limit
2026-01-02T23:25:51.833216,1948_02_18,1209,Exceeds token limit
2026-01-02T23:25:51.848740,1948_02_19,2214,Exceeds token limit
2026-01-02T23:25:51.855055,1948_02_20,1592,Exceeds token limit
2026-01-02T23:25:51.866481,1948_02_21,1825,Exceeds token limit
2026-01-02T23:25:57.517894,1948_03_04,523,Exceeds token limit
2026-01-02T23:25:57.692910,1948_03_09,1153,Exceeds token limit
2026-01-02T23:25:57.797967,1948_03_10,1654,Exceeds token limit
2026-01-02T23:25:57.953027,1948_03_11,1759,Exceeds token limit
2026-01-02T23:25:58.014055,1948_03_12,807,Exceeds token limit
2026-01-02T23:25:58.089057,1948_03_13,1154,Exceeds token limit
2026-01-02T23:25:58.107343,1948_03_14,1649,Exceeds token limit
2026-01-02T23:25:58.120803,1948_03_16,1568,Exceeds token limit
2026-01-02T23:25:58.139207,1948_03_17,1510,Exceeds token limit
2026-01-02T23:25:58.210872,1948_03_18,1897,Exceeds token limit
2026-01-02T23:26:00.423987,1948_04_02,1005,Exceeds token limit
2026-01-02T23:26:00.544517,1948_04_05,2084,Exceeds token limit
2026-01-02T23:26:00.719066,1948_04_06,1851,Exceeds token limit
2026-01-02T23:26:00.742250,1948_04_07,1158,Exceeds token limit
2026-01-02T23:26:00.834505,1948_04_08,2412,Exceeds token limit
2026-01-02T23:26:00.910253,1948_04_09,1509,Exceeds token limit
2026-01-02T23:26:00.951413,1948_04_10,930,Exceeds token limit
2026-01-02T23:26:00.964817,1948_04_11,905,Exceeds token limit
2026-01-02T23:26:01.043996,1948_04_12,3514,Exceeds token limit
2026-01-02T23:26:01.085332,1948_04_13,1112,Exceeds token limit
2026-01-02T23:26:01.154554,1948_04_14,1610,Exceeds token limit
2026-01-02T23:26:01.188205,1948_04_15,1294,Exceeds token limit
2026-01-02T23:26:02.011160,1948_05_05,4140,Exceeds token limit
2026-01-02T23:26:02.050442,1948_05_06,3266,Exceeds token limit
2026-01-02T23:26:02.056737,1948_05_07,790,Exceeds token limit
2026-01-02T23:26:02.081286,1948_05_08,2405,Exceeds token limit
2026-01-02T23:26:02.115249,1948_05_09,2753,Exceeds token limit
2026-01-02T23:26:02.128326,1948_05_10,1558,Exceeds token limit
2026-01-02T23:26:02.142412,1948_05_11,878,Exceeds token limit
2026-01-02T23:26:02.162700,1948_05_13,2861,Exceeds token limit
2026-01-02T23:26:02.180270,1948_05_14,2389,Exceeds token limit
2026-01-02T23:26:02.193039,1948_05_16,1484,Exceeds token limit
